Height/km,Air Density/ kg/km^3
0,1.225000E+09
0.5,1.167273E+09
1,1.111660E+09
1.5,1.058104E+09
2,1.006554E+09
2.5,9.569545E+08
3,9.092544E+08
3.5,8.634021E+08
4,8.193470E+08
4.5,7.770388E+08
5,7.364289E+08
5.5,6.974689E+08
6,6.601116E+08
6.5,6.243101E+08
7,5.900187E+08
7.5,5.571922E+08
8,5.257865E+08
8.5,4.957576E+08
9,4.670633E+08
9.5,4.396614E+08
10,4.135107E+08
10.5,3.885707E+08
11,3.648018E+08
11.5,3.374322E+08
12,3.119401E+08
12.5,2.883773E+08
13,2.665977E+08
13.5,2.464661E+08
14,2.278574E+08
14.5,2.106564E+08
15,1.947562E+08
15.5,1.800584E+08
16,1.664719E+08
16.5,1.539124E+08
17,1.423023E+08
17.5,1.315695E+08
18,1.216478E+08
18.5,1.124756E+08
19,1.039963E+08
19.5,9.615738E+07
20,8.891044E+07
20.5,8.205167E+07
21,7.571511E+07
21.5,6.988157E+07
22,6.451003E+07
22.5,5.956293E+07
23,5.500581E+07
23.5,5.080710E+07
24,4.693797E+07
24.5,4.337174E+07
25,4.008395E+07
25.5,3.705246E+07
26,3.425666E+07
26.5,3.167773E+07
27,2.929839E+07
27.5,2.710278E+07
28,2.507633E+07
28.5,2.320570E+07
29,2.147848E+07
29.5,1.988343E+07
30,1.841021E+07
30.5,1.704920E+07
31,1.579165E+07
31.5,1.462942E+07
32,1.355517E+07
32.5,1.252988E+07
33,1.157304E+07
33.5,1.069450E+07
34,9.887402E+06
34.5,9.145567E+06
35,8.463375E+06
35.5,7.835708E+06
36,7.257920E+06
36.5,6.725787E+06
37,6.235464E+06
37.5,5.783454E+06
38,5.366560E+06
38.5,4.981871E+06
39,4.626741E+06
39.5,4.298749E+06
40,3.995678E+06
40.5,3.715511E+06
41,3.456406E+06
41.5,3.216672E+06
42,2.994764E+06
42.5,2.789269E+06
43,2.598894E+06
43.5,2.422447E+06
44,2.258849E+06
44.5,2.107098E+06
45,1.966279E+06
45.5,1.835553E+06
46,1.714147E+06
46.5,1.601355E+06
47,1.496519E+06
47.5,1.401133E+06
48,1.316670E+06
48.5,1.237310E+06
49,1.162745E+06
49.5,1.092684E+06
50,1.026855E+06
50.5,9.650005E+05
51,9.068809E+05
51.5,8.530400E+05
52,8.056115E+05
52.5,7.606034E+05
53,7.179033E+05
53.5,6.774036E+05
54,6.390002E+05
54.5,6.025960E+05
55,5.680956E+05
55.5,5.354083E+05
56,5.044474E+05
56.5,4.751300E+05
57,4.473767E+05
57.5,4.211118E+05
58,3.962621E+05
58.5,3.727586E+05
59,3.505348E+05
59.5,3.295276E+05
60,3.096762E+05
60.5,2.909222E+05
61,2.732113E+05
61.5,2.564903E+05
62,2.407086E+05
62.5,2.258186E+05
63,2.117741E+05
63.5,1.985317E+05
64,1.860496E+05
64.5,1.742879E+05
65,1.632090E+05
65.5,1.527767E+05
66,1.429567E+05
66.5,1.337163E+05
67,1.250243E+05
67.5,1.168512E+05
68,1.091686E+05
